itemCode,name,imis_code,uom,quantity,boq_number,belongsto,partNumber,category,location,lastUpdated,,,,,,,,,,,,,,,
RJ-11,Cable Connector 6 Pin,003-0002-00-002016,"No,s",0,,O&M,,BAS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,BAS Weekly Inspection Checklist,,"No,s",0,,O&M,,BAS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
CAT-6,Ethernet Cable,,Mtr,305,,O&M,,BAS," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
100-Amp,Dry Battery 12-V,002-2400-00-024006,"No,s",46,,O&M,,BATTERIES," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
24-Amp,Dry Battery 12-V,002-2400-00-024007,"No,s",18,,O&M,,BATTERIES," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
12V-7.2AH,Dry Battery 12V-7.2AH (Leoch),002-2400-09-024001,"No,s",16,,O&M,,BATTERIES," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Duracell,Battery 9V (Duracell),003-0025-52-002518,"No,s",0,,O&M,,BATTERIES," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Dura Cell - AAA,Dura Cell 1.5V (Battery Cell) AAA,003-0025-52-002517,"No,s",0,,O&M,,BATTERIES," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
DJ-12-5,Dry Battery 12V5A (DonJin),002-2400-00-024003,"No,s",140,,O&M,,BATTERIES," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Dura Cell - AA,Dura Cell 1.5V (Battery Cell) AA,003-0025-00-002505,No.s,600,,O&M,,BATTERIES," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Camelion 1.5V,Battery Cell AA-Size,003-0025-00-025008,No.s,0,,O&M,,BATTERIES," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Energizer 1.5-V,AA Battery Cell,003-0025-26-025011,No.s,0,,O&M,,BATTERIES," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
